name,website,phone,address,price_range,rating,review_count,category,description,price_range,days,hours,menu,facebook,youtube,twitter,instagram,status,directions
Lale Dondurma Salonu,,"Yurdoğlu, 3947/1. Sk. No:1, 35120 Karabağlar/İzmir",,₺,"4,2",44 Google yorumu,Dondurma dükkanı,,₺,,,,,,,,,
Dondurmacı Bircan Usta,,0536 831 56 62,"Onur, Dalya Sk. NO:8/A, 35330 Balçova/İzmir",,"4,7",23 Google yorumu,Dondurma dükkanı,,,,07:00–00:00 07:00–00:00 07:00–00:00Saatler değişebilir 07:00–00:00 07:00–00:00 10:00–00:00 07:00–00:00 ,,,,,,Açık,
Edezade Dondurma,,"Basın Sitesi, 175. Sk., 35150 Karabağlar/İzmir",,,"5,0",4 Google yorumu,Dondurma dükkanı,,,,,,,,,,,
D Makina A.Ş. - Soft Dondurma ve Frozen Yoğurt Makineleri - Tava Dondurma Makineleri - Aromio - Triomaxx - Gelmatic,http://dmakina.com/,(0232) 332 23 38,"Korutürk, Uygar Sk. No:1/1, 35330 Balçova/İzmir",,"5,0",9 Google yorumu,Gıda İşleme Ekipmanı,,,,09:00–19:00 09:00–19:00 09:00–19:00Saatler değişebilir 09:00–19:00 09:30–18:00 Kapalı 09:00–19:00 ,,,,,,Açık,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbdc417f312b03:0x4c8d025a6b0f3349?sa=X
Girne Lokma Barış Usta & Galeto Roma,,(0232) 364 87 65,"Bostanlı, 35540 Karşıyaka/İzmir",,"4,5",11 Google yorumu,Dondurma dükkanı,,,,10:00–00:00 10:00–00:00 10:00–00:00Saatler değişebilir 10:00–00:00 10:00–00:00 10:00–00:00 10:00–00:00 ,,,,,,Kapalı,
Dondurma Mola,,"Efeler, Koşu Yolu Cd No:15, 35380 Buca Osb/Buca/İzmir",,,"5,0",1 Google yorumu,Dondurma dükkanı,,,,,,,,,,,
Oyya Gelato,,(0232) 330 39 39,"Atakent, Caher Dudayev Blv No:118, 35590 Karşıyaka/İzmir",,"4,5",243 Google yorumu,Dondurma dükkanı,,,,09:00–23:30 09:00–23:30 09:00–23:30Saatler değişebilir 09:00–23:30 09:00–23:30 11:00–23:30 09:00–23:30 ,,,,,,Açık,
Doğal Hakiki Kahramanmaraş Dondurması,,"Basın Sitesi, Polat Cd., 35150 Karabağlar/İzmir",,,,,Dondurma dükkanı,,,,,,,,,,,
Tatlıcı Efe - Baklava Dondurma,,0554 833 10 64,"Yamanlar, Barış Cd., 35510 Bayraklı/İzmir",,"4,0",4 Google yorumu,Tatlı Dükkanı,,,,,,,,,,,
Golf,,"Küçük Çiğli, 8780/27. Sk., 35610 Çiğli/İzmir",,,"3,9",13 Google yorumu,Dondurma dükkanı,,,,,,,,,,,
Sultan Baklava Dondurma,https://sultan-baklava-ve-dondurmalari.business.site/,(0232) 336 00 05,"Bostanlı, 1799. Sk. No:5A, 35590 Karşıyaka/İzmir",,"4,7",10 Google yorumu,Dondurma dükkanı,,,,,,,,,,,/maps/dir//Dondurmac%C4%B1lar+%C4%B0zmir+%C4%B0zmir/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x14bbd93089d7cfdf:0x7b730eac489f49d8?sa=X
Burçin Dondurma,,"Konak, 902. Sk. No:1, 35250 Konak/İzmir",,,,,Dondurma dükkanı,,,,,,,,,,,
La Diva,,(0232) 278 58 78,"Mithatpaşa caddesi Korutürk mahallesi no235c Balçova İzmir, 35330 Balçova/İzmir",₺₺,"4,1",82 Google yorumu,Dondurma dükkanı,,₺₺,,09:00–14:00 09:00–14:00 09:00–14:00Saatler değişebilir 09:00–14:00 09:00–14:00 09:00–14:00 09:00–14:00 ,,,,,,Açık,
Toros Dondurma,,"Yeşilbağlar, 647/52. Sk., 35380 Buca/İzmir",,,"4,2",16 Google yorumu,Dondurma dükkanı,,,,,,,,,,,
Yaman Dondurma,,0533 547 45 44,"Adalet, 1594/10. Sk. No: 10A, 35530 Bayraklı/İzmir",,"5,0",3 Google yorumu,Dondurma dükkanı,,,,08:00–20:00 08:00–20:00 08:00–20:00Saatler değişebilir 08:00–20:00 08:00–20:00 08:00–20:00 08:00–20:00 ,,,,,,Açık,
